Question,Expected Article,Retrieved Titles,Precision@5,Recall@5,HitRate@5,ReciprocalRank
गेहूं की बुवाई का सही समय क्या है?,गेंहूँ की समय से बुआई,गेहूं और जौ  | Vikaspedia - Agriculture | गेहूं और जौ | Vikaspedia - Agriculture | गेहूं की उन्नत प्रजातियां | Vikaspedia - Agriculture | गेंहूँ की समय से बुआई | Vikaspedia - Agriculture | राज्य में रबी धान्‍य फसलों हेतु प्रमुख जानकारी | Vikaspedia - Agriculture,0.2000,1.0000,1,0.2500
ड्रिप सिंचाई के क्या लाभ हैं?,ड्रिप सिंचाई,ड्रिप सिंचाई प्रणाली से गन्ना उत्पादन  | Vikaspedia - Agriculture | बूंद-बूंद सिंचाई पद्धति - एक परिचय  | Vikaspedia - Agriculture | बगीचों में आधुनिक सिंचाई प्रबन्धन | Vikaspedia - Agriculture | कृषि में जल संरक्षण-क्यों और कैसे ? | Vikaspedia - Agriculture | फव्वारा सिंचाई-फसलोत्पादन के लिए लाभकारी पद्धति  | Vikaspedia - Agriculture,0.2000,1.0000,1,1.0000
स्प्रिंकलर सिंचाई क्या है?,स्प्रिंकलर सिंचाई,बगीचों में आधुनिक सिंचाई प्रबन्धन | Vikaspedia - Agriculture | ड्रिप सिंचाई प्रणाली से गन्ना उत्पादन  | Vikaspedia - Agriculture | सिंचाई | Vikaspedia - Agriculture | छिड़काव सिंचाई प्रणाली | Vikaspedia - Agriculture | फव्वारा सिंचाई-फसलोत्पादन के लिए लाभकारी पद्धति  | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
मृदा परीक्षण क्यों आवश्यक है?,मृदा परीक्षण,राज्य की मिट्टी का नमूना लेने के उद्देश्य | Vikaspedia - Agriculture | मृदा स्वास्थ्य एवं परीक्षण कार्यक्रम | Vikaspedia - Agriculture | बिहार राज्य में मृदा परीक्षण की प्रक्रिया | Vikaspedia - Agriculture | वर्तमान कृषि में एकीकृत कृषि प्रणाली: आवश्यकता एवं महत्व | Vikaspedia - Agriculture | मिट्टी जाँच के लिए खेत से मिट्टी का सही नमूना लेने की विधि | Vikaspedia - Agriculture,0.2000,1.0000,1,0.3333
मिट्टी की उर्वरता कैसे बढ़ाएं?,मिट्टी,अच्छी ऊपज के लिए मिट्टी जाँच की आवश्यकता | Vikaspedia - Agriculture | पंगास मछली पालन के लिए तालाब निर्माण  | Vikaspedia - Agriculture | झारखंड राज्य में मृदा स्वास्थ्य की स्थिति | Vikaspedia - Agriculture | गुमला जिले की मिट्टी का स्वास्थ्य | Vikaspedia - Agriculture | ऊसर सुधार | Vikaspedia - Agriculture,0.4000,1.0000,1,1.0000
यूरिया का उपयोग कैसे करें?,उर्वरक,फसलोत्पादन बढ़ाने में नीमलेपित यूरिया लाभकारी  | Vikaspedia - Agriculture | फल पौधों में एकीकृत पोषक तत्व प्रबन्धन | Vikaspedia - Agriculture | जैविक खाद | Vikaspedia - Agriculture | झारखण्ड राज्य में मिट्टी के पोषक तत्व एवं उसका प्रबंधन    | Vikaspedia - Agriculture | टपक सिंचाई द्वारा रासायनिक खादों का प्रयोग | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
जैव उर्वरक क्या हैं?,जैव उर्वरक,परम्परागत कृषि विकास योजना (पीकेवीवाई) | Vikaspedia - Agriculture | झारखण्ड राज्य में मिट्टी के पोषक तत्व एवं उसका प्रबंधन    | Vikaspedia - Agriculture | गन्ने में जैव उर्वरक | Vikaspedia - Agriculture | मृदा की घटती उर्वरता में टिकाऊ खेती के लिये उपाय | Vikaspedia - Agriculture | जैविक खाद | Vikaspedia - Agriculture,0.2000,1.0000,1,0.3333
धान में रोग नियंत्रण कैसे करें?,धान,"खरीफ फसलों का कीट प्रबन्धन | Vikaspedia - Agriculture | झारखण्ड राज्य में मिट्टी के पोषक तत्व एवं उसका प्रबंधन    | Vikaspedia - Agriculture | विभिन्न फसलों के मुख्य रोग, लक्षण एवं प्रबंधन | Vikaspedia - Agriculture | धान की सीधी बुआई कम लागत में अधिक उत्पादन  | Vikaspedia - Agriculture | धान के रोगों की रोकथाम | Vikaspedia - Agriculture",0.4000,1.0000,1,0.2500
गेहूं में सिंचाई कब करनी चाहिए?,गेहूं,गेहूं एवं जाै | Vikaspedia - Agriculture | उन्नत तकनीकों से बढ़ा सकते हैं गेहूं उत्पादन | Vikaspedia - Agriculture | गेहूं और जौ | Vikaspedia - Agriculture | गेहूं और जौ  | Vikaspedia - Agriculture | राज्य में रबी धान्‍य फसलों हेतु प्रमुख जानकारी | Vikaspedia - Agriculture,0.8000,1.0000,1,1.0000
फसल चक्र क्या है?,फसल चक्र,अगस्त माह के कृषि कार्य | Vikaspedia - Agriculture | जैविक खेती में पोषक तत्वों की उपलब्धता | Vikaspedia - Agriculture | कैसा हो हमारा स्मार्ट किसान और खेती  | Vikaspedia - Agriculture | उन्नत तकनीकों से बढ़ा सकते हैं गेहूं उत्पादन | Vikaspedia - Agriculture | पैरा कृषि - कम लागत से ज्यादा आमदनी  | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
गेहूं में खरपतवार नियंत्रण कैसे करें?,गेहूं में खरपतवार नियंत्रण,जीरो टिलेज गेंहू – प्रशिक्षकों के लिए प्रशिक्षण पुस्तिका 2018  | Vikaspedia - Agriculture | गेंहू में कीट प्रबंधन के उपाय | Vikaspedia - Agriculture | गेहूं में खरपतवार नियंत्रण  | Vikaspedia - Agriculture | गेंहू की सुरक्षा  | Vikaspedia - Agriculture | गेहूं और जौ  | Vikaspedia - Agriculture,0.2000,1.0000,1,0.3333
धान की उन्नत किस्में कौन-कौन सी हैं?,धान की उन्नत प्रजातियां,धान उत्पादन की उन्नत तकनीकी-मध्यप्रदेश के संदर्भ में  | Vikaspedia - Agriculture | धान | Vikaspedia - Agriculture | बासमती/सुगन्धित धान की वैज्ञानिक खेती  | Vikaspedia - Agriculture | धान के रोगों की रोकथाम | Vikaspedia - Agriculture | संकर धान | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
धान में उर्वरकों का प्रयोग कैसे करें?,धान में उर्वरक प्रबंधन,धान उत्पादन की उन्नत तकनीकी-मध्यप्रदेश के संदर्भ में  | Vikaspedia - Agriculture | राज्य में खरीफ धान्‍य फसलों हेतु प्रमुख जानकारी | Vikaspedia - Agriculture | धान की जैविक खेती से संबंधित कृषि क्रियाएं | Vikaspedia - Agriculture | कृषि - अक्सर पूछे जाने वाले प्रश्न  | Vikaspedia - Agriculture | बासमती/सुगन्धित धान की वैज्ञानिक खेती  | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
मक्का की उन्नत किस्में कौन सी हैं?,मक्का की उन्नत प्रजातियां,"मक्का फसल की बुआई एवं देखभाल  | Vikaspedia - Agriculture | मक्के की खेती | Vikaspedia - Agriculture | बिहार में मक्का की खेती  | Vikaspedia - Agriculture | मक्का | Vikaspedia - Agriculture | ज्वार, बाजरा और मक्का की देखभाल | Vikaspedia - Agriculture",0.0000,0.0000,0,0.0000
गन्ने में सिंचाई कब करनी चाहिए?,गन्ने की सिंचाई,गन्ने की खेती  | Vikaspedia - Agriculture | गन्ना | Vikaspedia - Agriculture | जनवरी के मुख्य कृषि कार्य | Vikaspedia - Agriculture | गन्ने की फसल | Vikaspedia - Agriculture | गन्ना | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
आलू में रोगों से बचाव कैसे करें?,आलू में रोग प्रबंधन,आलू के झुलसा रोगों का प्रबंधन | Vikaspedia - Agriculture | आलू की खेती-सीतापुर के संदर्भ में | Vikaspedia - Agriculture | आलू का घातक झुलसा रोग | Vikaspedia - Agriculture | आलू की फसल में खरपतवार प्रबंधन | Vikaspedia - Agriculture | आलू की वैज्ञानिक खेती | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
टमाटर में कीट नियंत्रण कैसे करें?,टमाटर में कीट प्रबंधन,सब्जी की फसल और समेकित नाशीजीव प्रबंधन   | Vikaspedia - Agriculture | सब्जियों में समेकित रोग प्रंबधन | Vikaspedia - Agriculture | टमाटर की जैविक खेती से संबंधित कृषि क्रियाएं | Vikaspedia - Agriculture | टमाटर की फसल के प्रमुख कीट | Vikaspedia - Agriculture | विषाणु रोगों का एकीकृत प्रबंधन | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
प्याज की उन्नत खेती कैसे करें?,प्याज की खेती,प्याज  | Vikaspedia - Agriculture | खरीफ प्याज उत्पादन तकनीक | Vikaspedia - Agriculture | सब्जियों की पौधशाला का उचित प्रबंधन | Vikaspedia - Agriculture | झारखण्ड में प्रमुख सब्जियों का बीज उत्पादन | Vikaspedia - Agriculture | सब्जी वाली फसलों का उत्पादन एवं प्रबंधन  | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
जैविक खाद के क्या लाभ हैं?,जैविक खाद,परम्परागत कृषि विकास योजना (पीकेवीवाई) | Vikaspedia - Agriculture | झारखण्ड राज्य में मिट्टी के पोषक तत्व एवं उसका प्रबंधन    | Vikaspedia - Agriculture | जैविक खाद | Vikaspedia - Agriculture | जैविक खाद एवं उपयोगिता | Vikaspedia - Agriculture | झारखण्ड में बागवानी फसलों की जैविक कृषि  | Vikaspedia - Agriculture,0.4000,1.0000,1,0.3333
वर्मी कम्पोस्ट क्या है?,वर्मी कम्पोस्ट,मध्यप्रदेश में जैविक खेती | Vikaspedia - Agriculture | केंचुआ खाद का प्रयोग एवं बनाने की विधि | Vikaspedia - Agriculture | वर्मी कम्पोस्ट का गाँवों में उत्पादन   | Vikaspedia - Agriculture | केंचुआ खाद – वर्मी कंपोस्ट | Vikaspedia - Agriculture | वर्मीकम्पोस्ट है खेती के लिए काला सोना  | Vikaspedia - Agriculture,0.2000,1.0000,1,0.3333
हरी खाद का उपयोग क्यों किया जाता है?,हरी खाद,"हरी खाद का उपयोग करें, भूमि की उर्वरा शक्ति बढ़ाएं | Vikaspedia - Agriculture | जैविक खादें: रसायनिक खादों का सार्थक विकल्प  | Vikaspedia - Agriculture | झारखण्ड राज्य में मिट्टी के पोषक तत्व एवं उसका प्रबंधन    | Vikaspedia - Agriculture | झारखण्ड में बागवानी फसलों की जैविक कृषि  | Vikaspedia - Agriculture | फल पौधों में एकीकृत पोषक तत्व प्रबन्धन | Vikaspedia - Agriculture",0.2000,1.0000,1,1.0000
डीएपी उर्वरक का उपयोग कैसे करें?,डीएपी उर्वरक,मृदा की घटती उर्वरता में टिकाऊ खेती के लिये उपाय | Vikaspedia - Agriculture | झारखण्ड राज्य में मिट्टी के पोषक तत्व एवं उसका प्रबंधन    | Vikaspedia - Agriculture | प्रमुख रासायनिक उर्वरक | Vikaspedia - Agriculture | जैविक खाद एवं उपयोगिता | Vikaspedia - Agriculture | गोबर की खाद का महत्व | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
एनपीके उर्वरक क्या है?,एनपीके उर्वरक,मृदा की घटती उर्वरता में टिकाऊ खेती के लिये उपाय | Vikaspedia - Agriculture | टिकाऊ खेती में नैनो उर्वरक की भूमिका | Vikaspedia - Agriculture | फसलोत्पादन बढ़ाने में नीमलेपित यूरिया लाभकारी  | Vikaspedia - Agriculture | जैविक खेती | Vikaspedia - Agriculture | कैसा हो हमारा स्मार्ट किसान और खेती  | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
सूक्ष्म पोषक तत्व क्यों आवश्यक हैं?,सूक्ष्म पोषक तत्व,फल एवं सब्जियों से पोषण सुरक्षा | Vikaspedia - Agriculture | मृदा की घटती उर्वरता में टिकाऊ खेती के लिये उपाय | Vikaspedia - Agriculture | झारखंड राज्य में मृदा स्वास्थ्य की स्थिति | Vikaspedia - Agriculture | पठारी क्षेत्रों में सब्जियों की पैकेज प्रणाली | Vikaspedia - Agriculture | पौधों में पोषक तत्व के कमी के लक्षण एवं निदान | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
मिट्टी का पीएच कैसे जांचें?,मृदा परीक्षण,पंगास मछली पालन के लिए तालाब निर्माण  | Vikaspedia - Agriculture | मिट्टी जाँच | Vikaspedia - Agriculture | मिट्टी जाँच: महत्व एवं तकनीक | Vikaspedia - Agriculture | मिट्टी जाँच: महत्व एवं तकनीक | Vikaspedia - Agriculture | मिट्टी जाँच के लिए खेत से मिट्टी का सही नमूना लेने की विधि | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
संतुलित उर्वरक प्रबंधन क्या है?,उर्वरक प्रबंधन,सब्जियों की जैविक कृषि | Vikaspedia - Agriculture | मृदा की घटती उर्वरता में टिकाऊ खेती के लिये उपाय | Vikaspedia - Agriculture | टिकाऊ खेती में नैनो उर्वरक की भूमिका | Vikaspedia - Agriculture | झारखण्ड राज्य में मिट्टी के पोषक तत्व एवं उसका प्रबंधन    | Vikaspedia - Agriculture | फसलोत्पादन बढ़ाने में नीमलेपित यूरिया लाभकारी  | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
सूक्ष्म सिंचाई क्या है?,सूक्ष्म सिंचाई,बागवानी फसलों के लिए सूक्ष्म सिंचाई | Vikaspedia - Agriculture | फव्वारा सिंचाई-फसलोत्पादन के लिए लाभकारी पद्धति  | Vikaspedia - Agriculture | बूंद-बूंद सिंचाई पद्धति - एक परिचय  | Vikaspedia - Agriculture | कृषि में जल संरक्षण-क्यों और कैसे ? | Vikaspedia - Agriculture | बौछारी (स्प्रिंकलर) सिंचाई विधि | Vikaspedia - Agriculture,0.2000,1.0000,1,1.0000
वर्षा जल संरक्षण कैसे करें?,वर्षा जल संरक्षण,बागवानी फसलों के लिए समेकित जल प्रबंधन | Vikaspedia - Agriculture | झारखण्ड में मछली पालन की समस्याएँ और संभावनाएँ | Vikaspedia - Agriculture | फव्वारा सिंचाई-फसलोत्पादन के लिए लाभकारी पद्धति  | Vikaspedia - Agriculture | फलों एवं सब्जियों में सिंचाई के समय का निर्धारण | Vikaspedia - Agriculture | बदलते मौसम परिवेश में मृदा उर्वरता एवं जल प्रंबधन | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
जल संरक्षण की आधुनिक तकनीकें क्या हैं?,जल संरक्षण,फव्वारा सिंचाई-फसलोत्पादन के लिए लाभकारी पद्धति  | Vikaspedia - Agriculture | बागवानी फसलों के लिए समेकित जल प्रबंधन | Vikaspedia - Agriculture | बूंद-बूंद सिंचाई पद्धति - एक परिचय  | Vikaspedia - Agriculture | फव्वारा सिंचाई: एक कारगर पद्धति | Vikaspedia - Agriculture | वर्षा जल प्रबंध द्वारा फलों की खेती | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
खेत में जल निकासी क्यों आवश्यक है?,जल निकासी,बूंद-बूंद सिंचाई पद्धति - एक परिचय  | Vikaspedia - Agriculture | फलों एवं सब्जियों में सिंचाई के समय का निर्धारण | Vikaspedia - Agriculture | खेत तालाब से आई जीवन में हरियाली | Vikaspedia - Agriculture | बौछारी (स्प्रिंकलर) सिंचाई विधि | Vikaspedia - Agriculture | शाकीय फसलों में सिंचाई एवं जल प्रबंधन | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
फसलों में प्रमुख कीट कौन-कौन से होते हैं?,कीट प्रबंधन,जैविक कीट प्रबंधन से फसल सुरक्षा | Vikaspedia - Agriculture | कपास में समेकित नाशीजीव प्रबंधन  | Vikaspedia - Agriculture | उद्यान आधारित फसलो में समेकित कीट प्रबन्धन | Vikaspedia - Agriculture | कीट व्याधि | Vikaspedia - Agriculture | विभिन्न फसलों के कीट क्षति के लक्षण एवं उनके रोकथाम के उपाय | Vikaspedia - Agriculture,0.2000,1.0000,1,1.0000
समेकित कीट प्रबंधन क्या है?,समेकित कीट प्रबंधन,समन्वित कीट प्रबंधन के अवयव | Vikaspedia - Agriculture | सरसों में समेकित नाशीजीव प्रबंधन  | Vikaspedia - Agriculture | मूंग एवं उड़द के कीटों और पादप रोगों की जानकारी   | Vikaspedia - Agriculture | पौध संरक्षण | Vikaspedia - Agriculture | पौध संरक्षण  | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
फसलों में रोगों की रोकथाम कैसे करें?,रोग प्रबंधन,प्रमुख फसलों में समेकित रोग प्रबंधन  | Vikaspedia - Agriculture | समेकित रोग प्रंबधन  | Vikaspedia - Agriculture | धान फसल के प्रमुख राेग एवं उपचार | Vikaspedia - Agriculture | बासमती धान में आईपीएम के प्रयोग से आय में वृद्धि | Vikaspedia - Agriculture | सब्जियों में क्षेत्रवार मान्यकृत समेकित नाशीजीव प्रबंधन प्रौद्योगिकियां 	 | Vikaspedia - Agriculture,0.2000,1.0000,1,1.0000
बीज उपचार क्यों आवश्यक है?,बीज उपचार,जैविक प्रबन्धन एक समन्वित मार्ग | Vikaspedia - Agriculture | चना | Vikaspedia - Agriculture | राई की उन्नत खेती | Vikaspedia - Agriculture | बीज उपचार  | Vikaspedia - Agriculture | गेंहू में कीट प्रबंधन के उपाय | Vikaspedia - Agriculture,0.2000,1.0000,1,0.2500
प्रमाणित बीज का क्या महत्व है?,प्रमाणित बीज,प्रमाणित बीज उत्पादन कार्यक्रम | Vikaspedia - Agriculture | बीज का महत्व | Vikaspedia - Agriculture | झारखण्ड में प्रमुख सब्जियों का बीज उत्पादन | Vikaspedia - Agriculture | बीज भंडारण | Vikaspedia - Agriculture | बीज संग्रहण मार्गदर्शिका  | Vikaspedia - Agriculture,0.2000,1.0000,1,1.0000
फसल उत्पादन बढ़ाने के उपाय क्या हैं?,फसल उत्पादन,कैसा हो हमारा स्मार्ट किसान और खेती  | Vikaspedia - Agriculture | कंदीय फसलों से भरपूर आमदनी | Vikaspedia - Agriculture | उन्नत तकनीकों से बढ़ा सकते हैं गेहूं उत्पादन | Vikaspedia - Agriculture | सब्जियां एवं फल | Vikaspedia - Agriculture | मडुआ की उन्नत खेती | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
कृषि यंत्रीकरण के क्या लाभ हैं?,कृषि यंत्रीकरण,आधुनिक कृषि यंत्र | Vikaspedia - Agriculture | कृषि यंत्रीकरण एवं पौध संरक्षण कार्यक्रम | Vikaspedia - Agriculture | रबी हेतु उपयोगी कृषि यंत्र | Vikaspedia - Agriculture | मानव व पशु चलित यंत्र-भाग 1 | Vikaspedia - Agriculture | खेती में मशीनीकरण को बढ़ावा देने की भारत सरकार की पहल | Vikaspedia - Agriculture,0.2000,1.0000,1,0.5000
संरक्षित खेती क्या है?,संरक्षित खेती,संरक्षित खेती | Vikaspedia - Agriculture | संरक्षण खेती के सिद्धांतों पर आधारित खाद्यान्न सुरक्षा की एक सामरिक रुपरेखा | Vikaspedia - Agriculture | संरक्षण खेती के फायदे | Vikaspedia - Agriculture | संरक्षण खेती का दायरा | Vikaspedia - Agriculture | पॉलीहाउस में मृदा स्वास्थ्य एवं प्रबन्धन | Vikaspedia - Agriculture,0.2000,1.0000,1,1.0000
कृषि में मौसम की जानकारी क्यों महत्वपूर्ण है?,कृषि मौसम,जुलाई माह के कृषि कार्य | Vikaspedia - Agriculture | जनवरी महीने के कृषि कार्याें की महत्वता | Vikaspedia - Agriculture | सटीक कृषि में आर्टिफिशियल इंटेलिजेंस का उपयोग  | Vikaspedia - Agriculture | जून माह के कृषि कार्य | Vikaspedia - Agriculture | संरक्षित खेती | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
सतत कृषि क्या है?,सतत कृषि,कैसा हो हमारा स्मार्ट किसान और खेती  | Vikaspedia - Agriculture | समन्वित कृषि प्रणाली | Vikaspedia - Agriculture | उन्नत तकनीकों से बढ़ा सकते हैं गेहूं उत्पादन | Vikaspedia - Agriculture | अंतर्वर्ती फसलोत्पादन से लें दोगुना फायदा   | Vikaspedia - Agriculture | बहुउद्देशीय कृषि मॉडल या एकीकृत खेती प्रारूप – लघु किसानों के लिए मुनाफे का सौदा | Vikaspedia - Agriculture,0.0000,0.0000,0,0.0000
